Month,electricity_consumption_GWh,HYDRO,Thermal,WIND,GEOTHERMAL,BAGASSE_BIOGAS,IMPORTS,SOLAR,Total,DC_1_Lifeline_0_30_per_kWh,DC_2_Ordinary_30_100_per_kWh,DC_3_Ordinary_100_15000_per_kWh,Small_Commercial_1_0_30_per_kWh,Small_Commercial_2_30per_kWh_100per_kWh,Small_Commercial_3_100per_kWh_1500per_kWh,SC3_Bulk_Supply_1000per_kWh_1500per_kWh,"Commercial_Industrial_1___415_V_>_15,000_per_kWh","Commercial_Industrial_2___11,000_V","Commercial_Industrial_3___33,000_V","Commercial_Industrial_4___66,000_V","Commercial_Industrial_5___132,000_V","Commercial_Industrial_6___220,000_V",Commercial_Industrial_7_SEZs,E_Mobility,Street_Lighting,Number_of_new_customers,Cummulative_Connections,400 kV Ketraco,220kv Ketraco & KenGen links,132kv Ketraco,220 kV,132 kV,66 kV,33 kV,11 kV,HV_MV_Circuit_km,LV_Circuit_km,TOTAL,Renewable_Generation,Year,Month_num,Renewable_Share_%,Month_Num,Quarter,Is_Rainy_Season,Month_Sin,Month_Cos,Renewable_Share_Pct,Thermal_Share_Pct,Demand_Supply_Gap,Consumption_Lag1,Consumption_Lag3,Consumption_Growth,Rolling_Mean_3M,Rolling_Std_6M,HV_MV_per_Customer,LV_per_Customer,Grid_Capacity_per_Demand,Post_2020_Solar_Initiative,Drought_Period
2019-07-01,748.2366788700001,268.911306152,133.4035895500001,124.89111300000002,440.296882,0.015538,17.167435,7.093813399999995,991.7796771020002,16.746532000000002,16.746532,23.764532,16.746532,23.522531999999998,30.7931,30.7931,21.68244311111111,18.496897714285716,18.560629674418603,17.85386533333333,17.176716615384617,18.51099230769231,18.51099230769231,25.7353,13.721532000000002,51685.0,7140389.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,841.2086525520001,2019,7,85.0,7,3,0,-0.4999999999999997,-0.8660254037844388,84.81809740345038,13.450929942404954,-243.54299823200006,,,,,,0.011857262860608854,0.02220143832499882,113.1533266023035,0,0
2019-08-01,749.91488288,251.48017378799997,131.76414300000008,151.42539,425.46156099999996,0.032577,24.050815,7.44196240000001,991.6566221879998,16.865476,16.865475999999997,23.883476,16.865475999999997,23.641476,30.7931,30.7931,21.80138711111111,18.615841714285715,18.679573674418602,17.972809333333334,17.295660615384616,18.51099230769231,18.51099230769231,25.7353,13.840475999999999,44145.0,7183311.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,835.8416641879999,2019,8,84.0,8,3,0,-0.8660254037844385,-0.5000000000000004,84.28740810945139,13.287275055883207,-241.74173930799975,748.2366788700001,,0.0022428785668919815,,,0.01178641288119086,0.02206877942497547,112.90010537575637,0,0
2019-09-01,740.4895189400002,233.79550912400003,104.74042399999996,152.90575900000002,453.93344800000006,0.031067,11.356835,7.932895000000003,964.6959371240002,16.684676000000003,16.684676,23.702676,16.684676,23.460676,30.7931,30.7931,21.620587111111114,18.435041714285713,18.498773674418604,17.792009333333333,17.114860615384615,18.51099230769231,18.51099230769231,25.7353,13.659676000000001,38045.0,7205121.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,848.5986781240001,2019,9,88.0,9,3,0,-1.0,-1.8369701987210297e-16,87.96540396488918,10.857351002457555,-224.20641818400009,749.91488288,,-0.012568578321585533,746.2136935633334,,0.011750735247888272,0.02200197692724383,114.33716093807428,0,0
2019-10-01,754.3439396300005,268.3989934399999,69.47794900000007,137.42272400000004,493.560628,0.037012,12.584515000000001,8.085146199999993,989.5669676399999,16.464736000000002,16.464736000000002,23.482736,16.464736000000002,23.240736,30.7931,30.7931,21.400647111111113,18.215101714285716,18.278833674418607,17.57206933333333,16.894920615384617,18.51099230769231,18.51099230769231,25.7353,13.439735999999998,48889.0,7263265.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,907.5045036399998,2019,10,92.0,10,4,1,-0.8660254037844386,0.5000000000000001,91.70723491349865,7.021045696957402,-235.22302800999944,740.4895189400002,748.2366788700001,0.01870981335405353,748.2494471500003,,0.011656668082467044,0.02182584636523657,112.23722343620565,0,0
2019-11-01,763.25530433,299.189625928,62.44026987999991,114.03445499999998,481.901914,0.022658,18.37374,7.8473985999999964,983.8100614079999,16.080272,16.080272,23.098272,16.080272,22.856272,30.7931,30.7931,21.01618311111111,17.830637714285714,17.894369674418606,17.187605333333334,16.510456615384616,18.51099230769231,18.51099230769231,25.7353,13.055272,39715.0,7297028.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,902.996051528,2019,11,92.0,11,4,1,-0.5000000000000004,0.8660254037844384,91.7856085183413,6.346780982361294,-220.55475707799997,754.3439396300005,749.91488288,0.011813397353428012,752.6962543000003,,0.011602733236051719,0.021724859216656425,110.92680105816095,0,0
2019-12-01,712.0957147899999,360.8781616080001,62.144775900000006,49.85715800000047,464.1440840000001,0.049506,14.17825,7.605524266666669,954.5735617746668,15.554472000000004,15.554472,22.572472,15.554472,22.330472,30.7931,30.7931,20.49038311111111,17.304837714285718,17.368569674418605,16.661805333333334,15.984656615384617,18.51099230769231,18.51099230769231,25.7353,12.529472,21260.0,7322288.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,882.5344338746672,2019,12,92.0,12,4,0,-2.4492935982947064e-16,1.0,92.45326596243979,6.510213396698878,-242.47784698466694,763.25530433,740.4895189400002,-0.06702814805186175,743.2316529166668,17.65090633142906,0.011562706806943403,0.02164991407057466,118.89619266276334,0,0
2020-01-01,773.9679399099996,357.68808773999996,54.45905079999999,89.696862,476.595777,0.008061,10.92077,7.6356302000000005,997.00423874,15.386312,15.386312,22.404312,15.386312,22.162312,30.7931,30.7931,20.32222311111111,17.136677714285714,17.200409674418605,16.493645333333333,15.816496615384617,18.51099230769231,18.51099230769231,25.7353,12.361312,19377.0,7339857.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,931.62441794,2020,1,93.0,1,1,0,0.49999999999999994,0.8660254037844387,93.4423728345803,5.462268733062216,-223.03629883000042,712.0957147899999,754.3439396300005,0.08688751221912083,749.7729863433332,21.402617719263613,0.01153502981052628,0.0215980918974307,109.39144237659931,1,0
2020-02-01,741.7248455079207,341.94350830800005,53.76979900000004,100.15740599999997,430.7311220000001,0.017115,10.616135,6.978441000000006,944.213526308,15.365576,15.365575999999999,22.383575999999998,15.365575999999999,22.141576,30.7931,30.7931,20.30148711111111,17.115941714285714,17.179673674418606,16.472909333333334,15.795760615384616,18.51099230769231,18.51099230769231,25.7353,12.340576,48961.0,7390432.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,879.827592308,2020,2,93.0,2,1,0,0.8660254037844386,0.5000000000000001,93.1809985552995,5.694665189795265,-202.48868080007935,773.9679399099996,763.25530433,-0.041659470295149825,742.5961667359734,21.593773952262108,0.011456092052534953,0.021450289509463046,114.14673488795229,1,0
2020-03-01,763.7422759641704,359.1139319680001,55.59510499999994,85.88391900000005,460.26928899999996,0.018294,11.27414,7.839612399999993,979.994291368,15.242816,15.242816,22.260816,15.242816,22.018816,30.7931,30.7931,20.17872711111111,16.993181714285715,17.056913674418606,16.350149333333334,15.673000615384616,18.51099230769231,18.51099230769231,25.7353,12.217816000000001,57052.0,7446878.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,913.125046368,2020,3,93.0,3,1,0,1.0,6.123233995736766e-17,93.1765679056502,5.673002943965446,-216.25201540382955,741.7248455079207,712.0957147899999,0.029684094566324815,759.8116871273636,22.132353412180002,0.011369256928876772,0.021287700161060782,110.8560727414439,1,0
2020-04-01,646.5888340475303,297.6319015480001,35.67728469999996,88.03389100000003,411.756355,0.04,9.001069999999991,7.7821740000000075,849.9226762480001,15.389384000000003,15.389384,22.291383999999997,15.389384,22.053384,30.7931,30.7931,20.241917333333333,17.110346857142858,17.172635162790698,16.477884,15.812237846153845,18.51099230769231,18.51099230769231,25.7353,12.414384,37973.0,7484301.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,805.2443215480001,2020,4,95.0,4,2,1,0.8660254037844387,-0.4999999999999998,94.74324477407363,4.197709473701538,-203.3338422004698,763.7422759641704,773.9679399099996,-0.15339394662779693,717.3519851732071,47.99363791420963,0.011312408373206797,0.021181257408006436,130.94174356524118,1,0
2020-05-01,661.4267342799994,319.465482028,56.179973,105.62492999999999,391.79436799999996,0.012302,9.689805000000007,7.929903799999997,890.696763828,15.168592,15.168591999999999,22.070591999999998,15.168591999999999,21.832592,30.7931,30.7931,20.021125333333334,16.88955485714286,16.9518431627907,16.257092,15.591445846153848,18.51099230769231,18.51099230769231,25.7353,12.193591999999999,31821.0,7516122.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,824.8269858279999,2020,5,93.0,5,2,1,0.49999999999999994,-0.8660254037844387,92.60469099304822,6.307418560560612,-229.2700295480006,646.5888340475303,741.7248455079207,0.02294796855613246,690.5859480972334,53.12376735146805,0.011264515038473297,0.02109158233461351,128.00430480355948,1,0
2020-06-01,717.3908600599998,334.165559404,61.839058000000094,88.4509779999999,421.43906799999996,0.010084,11.341204999999992,6.989835799999997,924.235788204,15.369276000000003,15.369275999999997,22.271275999999997,15.369275999999997,22.033276,30.7931,30.7931,20.221809333333333,17.090238857142857,17.152527162790697,16.457776,15.792129846153847,18.51099230769231,18.51099230769231,25.7353,12.394276,61474.0,7576145.0,1980.98,454.0,1022.0339999999997,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,851.0555252039999,2020,6,92.0,6,2,0,1.2246467991473532e-16,-1.0,92.0820786282031,6.690831364598793,-206.84492814400016,661.4267342799994,763.7422759641704,0.08461122431182111,675.1354761291765,53.078115590320785,0.01117527044426948,0.02092448151401537,118.01860605377507,1,0
2020-07-01,730.3450119740189,357.84385676399995,60.60444700000001,110.41912299999996,433.46159800000004,0.003116,12.566245000000007,6.809762200000001,981.708147964,15.481095999999999,15.481096,22.385996000000006,15.481096,22.145096,30.7931,30.7931,20.333629333333334,17.20205885714286,17.2643471627907,16.569596,15.903949846153846,18.51099230769231,18.51099230769231,25.7353,12.506096,45326.0,7674534.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,908.5374559639998,2020,7,93.0,7,3,0,-0.4999999999999997,-0.8660254037844388,92.54659420401558,6.173367016020979,-251.36313598998106,717.3908600599998,646.5888340475303,0.018057313851107093,703.0542021046728,46.35371182755563,0.011276410776211299,0.021968126690167768,118.49358382840381,1,0
2020-08-01,735.6499634999998,357.68780244400006,70.47261799999983,118.62019200000002,423.5885640000001,0.013765,13.307085,6.705211599999999,990.395238044,15.598566000000002,15.598566,22.498966,15.598566,22.262566,30.7931,30.7931,20.45109933333333,17.319528857142856,17.381817162790696,16.687065999999998,16.021419846153847,18.51099230769231,18.51099230769231,25.7353,12.623565999999999,53602.0,7699327.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,906.6155350440001,2020,8,92.0,8,3,0,-0.8660254037844385,-0.5000000000000004,91.54078091434867,7.115605496971196,-254.74527454400027,730.3450119740189,661.4267342799994,0.007263623957179277,727.7952785113395,45.587508480346045,0.011240099024239392,0.021897385992308158,117.63909766033724,1,0
2020-09-01,752.1492746593403,355.745063564,89.42492300000018,139.81561200000002,380.695033,0.006813,13.704085,6.8183256,986.209855164,15.746419999999997,15.74642,22.64842,15.74642,22.41042,30.7931,30.7931,20.598953333333334,17.46738285714286,17.529671162790695,16.83492,16.169273846153846,18.51099230769231,18.51099230769231,25.7353,12.771419999999999,52407.0,7726188.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,883.0808471639999,2020,9,90.0,9,3,0,-1.0,-1.8369701987210297e-16,89.54289419640301,9.067534919850239,-234.0605805046597,735.6499634999998,717.3908600599998,0.02242820903686571,739.3814167111196,42.98434068467161,0.011201021499865134,0.021821257158122477,115.05854065896135,1,0
2020-10-01,778.9558754317704,373.092874292,79.48673399999983,121.83387400000005,440.127119,0.011966,12.22904,8.1891814,1034.970788692,16.459033999999996,16.459034,23.361034,16.459034,23.123034,30.7931,30.7931,21.311567333333333,18.179996857142857,18.242285162790697,17.547534,16.881887846153845,18.51099230769231,18.51099230769231,25.7353,13.484034,65141.0,7790934.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,943.2550146920001,2020,10,91.0,10,4,1,-0.8660254037844386,0.5000000000000001,91.13832245295438,7.680094440197241,-256.0149132602296,752.1492746593403,730.3450119740189,0.0356400008290525,755.5850378637036,39.44062602894718,0.01110793621149916,0.021639913160604363,111.09897316331397,1,0
